date,platform,campaign_type,campaign_id,channel,target_segment,objective,expected_uplift,country,impressions,clicks,CTR,ad_spend,conversions,ROAS,revenue,conversion_lift,click_to_conversion_rate
2024-01-03,Meta Ads,Display,,,,,,Canada,129750,2452,0.0189,2672.68,93,8.89,23770.39,,0.03792822185970636
2024-01-03,TikTok Ads,Search,,,,,,USA,69277,5057,0.073,5360.42,268,10.75,57608.77,,0.052995847340320347
2024-01-04,Meta Ads,Shopping,,,,,,Canada,91284,2126,0.0233,1955.92,132,12.23,23916.94,,0.062088428974600186
2024-01-04,Meta Ads,Display,,,,,,India,97152,1156,0.0119,624.24,43,7.95,4965.75,,0.037197231833910036
2024-01-04,Meta Ads,Search,,,,,,UK,122897,2040,0.0166,1570.8,159,29.13,45753.83,,0.077941176470588236
2024-01-04,Google Ads,Display,,,,,,USA,52897,1883,0.0356,5215.91,108,1.05,5473.28,,0.057355284121083379
2024-01-04,Google Ads,Video,,,,,,Germany,89730,4621,0.0515,12384.28,277,1.09,13483.54,,0.059943735122267909
2024-01-04,Meta Ads,Shopping,,,,,,UK,117217,2133,0.0182,2751.57,129,9.25,25455.36,,0.060478199718706049
2024-01-04,Meta Ads,Shopping,,,,,,UK,184729,2586,0.014,2327.4,201,7.25,16864.93,,0.0777262180974478
2024-01-04,Google Ads,Display,,,,,,UK,20198,878,0.0435,2353.04,67,2.54,5967.58,,0.076309794988610472
2024-01-05,Meta Ads,Display,,,,,,USA,10939,113,0.0104,133.34,6,12.63,1684.43,,0.053097345132743362
2024-01-05,Meta Ads,Shopping,,,,,,USA,139257,2631,0.0189,4235.91,99,2.31,9781.28,,0.037628278221208664
2024-01-05,Google Ads,Search,,,,,,UK,41378,2023,0.0489,2488.29,73,3.76,9343.63,,0.036085022244191793
2024-01-05,Google Ads,Video,,,,,,India,135223,3285,0.0243,9920.7,201,4.65,46154.22,,0.061187214611872147
2024-01-05,TikTok Ads,Display,,,,,,UAE,6015,410,0.0683,791.3,28,5.54,4383.32,,0.068292682926829273
2024-01-05,Meta Ads,Display,,,,,,Germany,88732,1579,0.0178,694.76,32,6.85,4757.82,,0.020265991133628879
2024-01-05,Google Ads,Shopping,,,,,,UAE,20091,956,0.0476,3259.96,36,2.83,9230.05,,0.037656903765690378
2024-01-05,TikTok Ads,Video,,,,,,Australia,52059,2956,0.0568,1684.92,29,3.34,5633.14,,0.0098105548037889043
2024-01-06,Meta Ads,Video,,,,,,Australia,131681,1725,0.0131,1362.75,108,22.96,31291.1,,0.062608695652173918
2024-01-06,Google Ads,Video,,,,,,UK,139158,3061,0.022,3887.47,118,4.07,15835.46,,0.038549493629532833
2024-01-06,Meta Ads,Search,,,,,,Australia,17763,726,0.0409,1408.44,30,1.38,1946.19,,0.041322314049586778
2024-01-07,Google Ads,Video,,,,,,UK,33433,1698,0.0508,4975.14,60,0.85,4216.81,,0.0353356890459364
2024-01-07,Google Ads,Shopping,,,,,,UAE,73803,1505,0.0204,3190.6,98,5.86,18709.86,,0.065116279069767441
2024-01-07,TikTok Ads,Search,,,,,,UK,166711,13670,0.082,20505,592,2.13,43676.76,,0.043306510607168981
2024-01-07,Google Ads,Shopping,,,,,,USA,73305,3635,0.0496,9014.8,47,0.25,2210.35,,0.012929848693259973
2024-01-07,Meta Ads,Video,,,,,,Germany,98944,1850,0.0187,2627,78,6.58,17285.68,,0.042162162162162162
2024-01-07,Meta Ads,Shopping,,,,,,Australia,182235,5047,0.0277,3734.78,260,14.31,53450.65,,0.0515157519318407
2024-01-07,Meta Ads,Video,,,,,,Germany,94440,2219,0.0235,4282.67,156,9.21,39424.24,,0.070301937809824244
2024-01-07,Google Ads,Video,,,,,,Germany,25080,1113,0.0444,2916.06,49,0.77,2232.61,,0.0440251572327044
2024-01-07,Google Ads,Video,,,,,,UAE,32476,1136,0.035,1863.04,86,11.68,21754.11,,0.075704225352112672
2024-01-08,Google Ads,Display,,,,,,USA,132600,6802,0.0513,10407.06,97,0.65,6779.29,,0.014260511614231109
2024-01-08,Meta Ads,Video,,,,,,UK,127775,3871,0.0303,2941.96,159,9.76,28717.22,,0.041074657711185743
2024-01-08,TikTok Ads,Search,,,,,,UK,162795,8107,0.0498,7782.72,575,11.1,86383.64,,0.0709263599358579
2024-01-08,Google Ads,Search,,,,,,India,63243,1707,0.027,3823.68,37,1.02,3893.12,,0.021675454012888107
2024-01-09,TikTok Ads,Search,,,,,,Germany,96310,6905,0.0717,8838.4,247,0.98,8632.99,,0.035771180304127445
2024-01-09,Google Ads,Video,,,,,,UK,108510,3721,0.0343,5246.61,116,4.48,23480.01,,0.031174415479709755
2024-01-09,Google Ads,Search,,,,,,Australia,53544,1670,0.0312,2354.7,20,1.98,4659.21,,0.011976047904191617
2024-01-10,Meta Ads,Shopping,,,,,,UAE,73323,1928,0.0263,3296.88,121,10.2,33634.99,,0.062759336099585061
2024-01-10,Meta Ads,Shopping,,,,,,USA,62284,1413,0.0227,1497.78,88,7.05,10561.64,,0.062278839348903041
2024-01-10,Meta Ads,Video,,,,,,Australia,51698,1307,0.0253,2561.72,91,6.07,15551.2,,0.069625095638867637
2024-01-10,Google Ads,Video,,,,,,UK,170268,7917,0.0465,24859.38,98,0.91,22672.12,,0.01237842617152962
2024-01-10,Google Ads,Video,,,,,,Australia,131031,6092,0.0465,17910.48,482,6.5,116431.98,,0.07912015758371635
2024-01-10,Meta Ads,Search,,,,,,UK,175574,6935,0.0395,4785.15,515,14.47,69264.33,,0.074260994953136261
2024-01-11,Meta Ads,Shopping,,,,,,USA,144993,2783,0.0192,4091.01,120,2.58,10562.14,,0.043118936399568812
2024-01-11,TikTok Ads,Video,,,,,,Germany,108145,3882,0.0359,3649.08,98,7.87,28726.52,,0.025244719216898505
2024-01-11,Meta Ads,Video,,,,,,UK,152977,5491,0.0359,7412.85,147,1.25,9232.39,,0.026771079949007466
2024-01-11,Google Ads,Search,,,,,,Germany,48351,2156,0.0446,6812.96,83,1.1,7504.87,,0.038497217068645638
2024-01-11,TikTok Ads,Display,,,,,,UK,146587,5995,0.0409,9112.4,161,3.04,27684.26,,0.026855713094245205
2024-01-12,Meta Ads,Display,,,,,,Canada,182011,1911,0.0105,1051.05,35,3.66,3848.31,,0.018315018315018316
2024-01-12,Meta Ads,Video,,,,,,Canada,104657,4029,0.0385,2860.59,204,3.64,10401.62,,0.050632911392405063
2024-01-12,Meta Ads,Video,,,,,,Australia,176250,6204,0.0352,4032.6,312,20.91,84311.3,,0.050290135396518373
2024-01-12,Meta Ads,Video,,,,,,UK,62676,595,0.0095,1439.9,32,0.92,1319.08,,0.05378151260504202
2024-01-12,Google Ads,Search,,,,,,India,124273,3603,0.029,5584.65,167,3.66,20460.25,,0.046350263669164588
2024-01-13,Meta Ads,Display,,,,,,UK,70180,736,0.0105,1030.4,45,2.1,2168.72,,0.061141304347826088
2024-01-13,Meta Ads,Video,,,,,,UK,138686,2621,0.0189,3983.92,195,13.15,52398.49,,0.074399084318962222
2024-01-13,TikTok Ads,Shopping,,,,,,India,83871,6382,0.0761,6701.1,196,4.69,31406.57,,0.030711375744280789
2024-01-13,Meta Ads,Shopping,,,,,,India,24404,710,0.0291,433.1,10,2.13,923.15,,0.014084507042253521
2024-01-14,TikTok Ads,Search,,,,,,India,85428,5134,0.0601,4415.24,202,8.52,37603.74,,0.039345539540319441
2024-01-14,Meta Ads,Display,,,,,,India,171020,2616,0.0153,1151.04,41,8.37,9636.88,,0.015672782874617736
2024-01-15,Google Ads,Search,,,,,,India,91348,2914,0.0319,5041.22,98,2.97,14981.67,,0.033630748112560054
2024-01-15,Google Ads,Search,,,,,,Canada,43098,1620,0.0376,4422.6,39,1.61,7135.44,,0.024074074074074074
2024-01-15,Google Ads,Display,,,,,,Canada,55406,2648,0.0478,5031.2,149,4.4,22127.3,,0.056268882175226589
2024-01-15,Google Ads,Display,,,,,,UK,62320,3857,0.0619,3895.57,158,4.6,17905.2,,0.040964480165932071
2024-01-15,Meta Ads,Search,,,,,,Germany,113269,3182,0.0281,4868.46,185,11.07,53909.5,,0.058139534883720929
2024-01-16,Google Ads,Search,,,,,,Germany,192593,4949,0.0257,9056.67,172,2.3,20836.16,,0.034754495857749042
2024-01-16,Meta Ads,Video,,,,,,USA,143421,3542,0.0247,3046.12,181,8.63,26273.04,,0.051101072840203272
2024-01-16,Google Ads,Search,,,,,,UK,175381,4226,0.0241,3845.66,204,2.98,11471.83,,0.048272598201609083
2024-01-16,TikTok Ads,Shopping,,,,,,Germany,88940,4384,0.0493,1402.88,66,7.45,10447.12,,0.015054744525547446
2024-01-16,Meta Ads,Shopping,,,,,,UK,167893,4432,0.0264,2570.56,66,6.22,15989.78,,0.014891696750902527
2024-01-16,Google Ads,Shopping,,,,,,UAE,31783,781,0.0246,905.96,49,5.39,4886.84,,0.062740076824583865
2024-01-16,TikTok Ads,Video,,,,,,Australia,62868,2715,0.0432,4344,180,8.19,35590.01,,0.066298342541436461
2024-01-16,TikTok Ads,Shopping,,,,,,Australia,55701,4138,0.0743,1406.92,229,14.23,20016.59,,0.055340744320927983
2024-01-17,Google Ads,Video,,,,,,Canada,49109,1203,0.0245,3921.78,25,1.21,4734.61,,0.020781379883624274
2024-01-17,Meta Ads,Shopping,,,,,,Germany,62033,2667,0.043,2933.7,135,4.87,14288.2,,0.050618672665916763
2024-01-17,Google Ads,Shopping,,,,,,UK,100552,3861,0.0384,7374.51,57,1.98,14567.86,,0.014763014763014764
2024-01-17,TikTok Ads,Video,,,,,,UAE,188846,12671,0.0671,17359.27,821,4.96,86047.94,,0.06479362323415673
2024-01-17,Meta Ads,Shopping,,,,,,Canada,185750,1653,0.0089,2148.9,34,1.36,2916.11,,0.0205686630369026
2024-01-17,TikTok Ads,Video,,,,,,India,58521,3318,0.0567,6138.3,39,1.63,10013.26,,0.011754068716094032
2024-01-17,Meta Ads,Search,,,,,,Australia,100343,3461,0.0345,3737.88,259,13.85,51755.16,,0.074833863045362617
2024-01-17,TikTok Ads,Search,,,,,,Canada,115716,7394,0.0639,8577.04,242,5.73,49142.56,,0.032729239924262916
2024-01-17,Meta Ads,Video,,,,,,Germany,190928,5078,0.0266,7363.1,186,6.44,47430.11,,0.036628593934619931
2024-01-18,Meta Ads,Video,,,,,,Canada,84712,1473,0.0174,3343.71,74,0.99,3310.43,,0.050237610319076711
2024-01-18,Google Ads,Shopping,,,,,,UAE,76792,3317,0.0432,10282.7,262,4.09,42043.84,,0.078987036478745859
2024-01-18,TikTok Ads,Video,,,,,,UK,172820,5512,0.0319,8268,229,4.62,38190.22,,0.041545718432510884
2024-01-18,Meta Ads,Video,,,,,,UK,72278,2421,0.0335,3123.09,26,1.8,5625.44,,0.0107393638992152
2024-01-18,Meta Ads,Shopping,,,,,,UAE,84830,2612,0.0308,5171.76,84,1.22,6284.59,,0.032159264931087291
2024-01-18,Google Ads,Display,,,,,,Australia,55248,1646,0.0298,4279.6,43,2.88,12311.15,,0.026123936816524911
2024-01-18,TikTok Ads,Search,,,,,,India,168616,6508,0.0386,6638.16,508,22.76,151081.09,,0.078057775046097108
2024-01-19,Meta Ads,Shopping,,,,,,USA,173292,7330,0.0423,13780.4,355,4.86,66981.68,,0.048431105047748974
2024-01-19,Google Ads,Search,,,,,,UAE,82764,2276,0.0275,2071.16,130,11,22792.2,,0.057117750439367308
2024-01-19,TikTok Ads,Search,,,,,,USA,179561,8600,0.0479,12384,212,2.78,34386.07,,0.024651162790697675
2024-01-19,Google Ads,Shopping,,,,,,UK,55075,3056,0.0555,7212.16,156,0.71,5145.31,,0.051047120418848166
2024-01-19,Meta Ads,Video,,,,,,India,43467,991,0.0228,1882.9,25,1.67,3146.23,,0.025227043390514632
2024-01-20,Meta Ads,Shopping,,,,,,UK,147897,2144,0.0145,4159.36,24,0.92,3826.61,,0.011194029850746268
2024-01-20,Google Ads,Display,,,,,,Canada,181687,8321,0.0458,26127.94,651,7.24,189283.47,,0.078235788967672151
2024-01-20,Google Ads,Display,,,,,,USA,122322,6152,0.0503,7566.96,155,1.38,10417.89,,0.025195058517555265
2024-01-20,TikTok Ads,Display,,,,,,India,29180,1464,0.0502,775.92,59,15.12,11729.57,,0.040300546448087435
2024-01-20,TikTok Ads,Video,,,,,,USA,153145,7197,0.047,7340.94,89,0.85,6214.05,,0.012366263720994858
2024-01-21,Google Ads,Search,,,,,,UAE,59886,2113,0.0353,2662.38,159,1.8,4803.43,,0.075248461902508279
2024-01-21,Meta Ads,Display,,,,,,Germany,161646,5253,0.0325,5253,228,8.33,43732.39,,0.043403769274700174
2024-01-21,TikTok Ads,Search,,,,,,Canada,160522,5425,0.0338,6021.75,398,13.13,79057.93,,0.073364055299539169
2024-01-21,Google Ads,Display,,,,,,Australia,154239,7465,0.0484,23888,484,1.07,25632.04,,0.064835900870730073
2024-01-21,Google Ads,Display,,,,,,Australia,186465,8689,0.0466,21027.38,367,2.75,57833.06,,0.042237311543330651
2024-01-21,TikTok Ads,Display,,,,,,Germany,92273,6237,0.0676,8794.17,291,8.19,72065.02,,0.046657046657046654
2024-01-21,TikTok Ads,Shopping,,,,,,UAE,119944,9331,0.0778,5691.91,717,17.85,101587.49,,0.076840638731111355
2024-01-22,Google Ads,Display,,,,,,UAE,85077,4032,0.0474,11450.88,253,1.15,13168.69,,0.062748015873015872
2024-01-22,TikTok Ads,Shopping,,,,,,Germany,5059,415,0.0822,302.95,4,2.64,798.87,,0.00963855421686747
2024-01-22,Google Ads,Shopping,,,,,,Australia,153953,5095,0.0331,14571.7,110,2.1,30634.7,,0.021589793915603533
2024-01-22,Meta Ads,Display,,,,,,USA,197882,5144,0.026,4166.64,299,16.33,68061.76,,0.058125972006220841
2024-01-22,Google Ads,Shopping,,,,,,USA,28387,672,0.0237,2231.04,41,3.24,7232.57,,0.06101190476190476
2024-01-22,TikTok Ads,Display,,,,,,Canada,120409,8356,0.0694,8021.76,663,6.33,50787.7,,0.079344183820009573
2024-01-22,Meta Ads,Search,,,,,,USA,80507,2318,0.0288,1645.78,119,14.51,23887.12,,0.051337359792924933
2024-01-22,TikTok Ads,Search,,,,,,UK,135608,5220,0.0385,6159.6,411,10.41,64126.68,,0.078735632183908041
2024-01-23,Google Ads,Search,,,,,,India,57979,2081,0.0359,3933.09,148,4.78,18788.47,,0.071119654012494
2024-01-23,Meta Ads,Shopping,,,,,,Australia,90716,3002,0.0331,4412.94,194,8.96,39560.54,,0.064623584277148566
2024-01-23,Google Ads,Search,,,,,,Germany,7948,289,0.0364,598.23,6,2.29,1368.08,,0.020761245674740483
2024-01-24,TikTok Ads,Shopping,,,,,,UK,79967,2327,0.0291,2443.35,43,4.64,11334.87,,0.018478727975934681
2024-01-24,Meta Ads,Search,,,,,,India,191478,6414,0.0335,10069.98,236,5.61,56534.15,,0.036794512004989087
2024-01-24,TikTok Ads,Shopping,,,,,,Germany,107262,5127,0.0478,6357.48,343,14.69,93405.13,,0.06690072166959235
2024-01-24,Google Ads,Shopping,,,,,,Australia,31325,858,0.0274,1818.96,43,1.1,2004.67,,0.05011655011655012
2024-01-25,TikTok Ads,Search,,,,,,India,46420,1880,0.0405,3572,113,1.62,5769.59,,0.0601063829787234
2024-01-25,Google Ads,Search,,,,,,UAE,50203,1390,0.0277,2710.5,47,4.18,11338.98,,0.033812949640287769
2024-01-25,Google Ads,Search,,,,,,Australia,92185,3779,0.041,6121.98,82,1.94,11861.33,,0.021698862132839374
2024-01-25,Google Ads,Video,,,,,,USA,184316,4091,0.0222,4254.64,309,19.36,82363.46,,0.0755316548521144
2024-01-25,TikTok Ads,Display,,,,,,UK,42706,2084,0.0488,3313.56,35,1.44,4766.32,,0.016794625719769675
2024-01-25,Meta Ads,Search,,,,,,India,27499,728,0.0265,778.96,17,4.96,3860.75,,0.023351648351648352
2024-01-25,Google Ads,Search,,,,,,Germany,122959,3553,0.0289,5933.51,133,1.87,11079.66,,0.0374331550802139
2024-01-26,TikTok Ads,Shopping,,,,,,Germany,34118,1470,0.0431,1249.5,55,2.43,3037.11,,0.037414965986394558
2024-01-26,Meta Ads,Search,,,,,,USA,177593,1811,0.0102,1430.69,128,11.95,17092.48,,0.0706791827719492
2024-01-27,Meta Ads,Display,,,,,,Australia,176459,3670,0.0208,7009.7,65,0.35,2483.8,,0.017711171662125342
2024-01-27,Meta Ads,Search,,,,,,Canada,128556,4910,0.0382,4320.8,55,2.47,10684.27,,0.011201629327902239
2024-01-27,Meta Ads,Search,,,,,,Australia,30123,554,0.0184,986.12,15,2.92,2874.83,,0.027075812274368231
2024-01-27,TikTok Ads,Search,,,,,,Canada,69198,3529,0.051,1940.95,256,7.83,15199.33,,0.072541796542930012
2024-01-27,TikTok Ads,Video,,,,,,UAE,196889,9568,0.0486,8898.24,137,3.93,34964.66,,0.014318561872909698
2024-01-27,Google Ads,Search,,,,,,India,79432,4130,0.052,9457.7,311,6.28,59366.41,,0.075302663438256659
2024-01-27,Google Ads,Display,,,,,,UK,86362,2547,0.0295,3591.27,164,9.27,33307.3,,0.064389477817039659
2024-01-27,Google Ads,Search,,,,,,UAE,143183,5784,0.0404,4974.24,432,17.74,88233.11,,0.074688796680497924
2024-01-28,Meta Ads,Display,,,,,,Canada,93966,2104,0.0224,2040.88,157,3.42,6975.9,,0.07461977186311787
2024-01-28,Google Ads,Video,,,,,,Australia,193978,5780,0.0298,9999.4,177,4.21,42071.17,,0.030622837370242215
2024-01-28,Google Ads,Display,,,,,,Australia,38005,1489,0.0392,2248.39,79,10.25,23043.93,,0.053055742108797849
2024-01-28,TikTok Ads,Shopping,,,,,,USA,34063,1243,0.0365,472.34,40,23.07,10897.53,,0.032180209171359615
2024-01-28,Meta Ads,Search,,,,,,UAE,113878,3678,0.0323,3383.76,216,18.37,62162.63,,0.05872756933115824
2024-01-28,TikTok Ads,Display,,,,,,India,104626,9144,0.0874,10058.4,389,8.33,83739.39,,0.042541557305336833
2024-01-29,Meta Ads,Display,,,,,,UK,77447,906,0.0117,1041.9,29,7.95,8284.13,,0.032008830022075052
2024-01-29,Google Ads,Video,,,,,,Germany,16781,684,0.0408,889.2,8,1.61,1435.11,,0.011695906432748537
2024-01-29,Google Ads,Display,,,,,,USA,168471,6014,0.0357,5833.58,117,4.33,25231.33,,0.019454605919521119
2024-01-29,Google Ads,Video,,,,,,UK,82462,3916,0.0475,8223.6,199,5.93,48785.37,,0.050817160367722165
2024-01-29,Meta Ads,Search,,,,,,UK,56534,1079,0.0191,647.4,27,6.96,4508.39,,0.025023169601482854
2024-01-30,Google Ads,Search,,,,,,Canada,187156,3986,0.0213,9526.54,269,3.61,34393.23,,0.0674862017059709
2024-01-30,Google Ads,Video,,,,,,Australia,89052,2591,0.0291,9483.06,190,1.33,12653.72,,0.073330760324199148
2024-01-30,Meta Ads,Display,,,,,,UAE,166155,6048,0.0364,8830.08,260,3.23,28494.38,,0.042989417989417987
2024-01-30,Meta Ads,Video,,,,,,Australia,57776,1490,0.0258,1758.2,107,12.76,22435.51,,0.071812080536912751
2024-01-30,TikTok Ads,Video,,,,,,India,48147,3562,0.074,1496.04,163,27.66,41382.29,,0.045760808534531162
2024-01-30,Google Ads,Display,,,,,,USA,44435,1453,0.0327,3894.04,48,1.63,6345.04,,0.033035099793530628
2024-01-31,Google Ads,Display,,,,,,Canada,64739,1599,0.0247,5212.74,109,4.36,22723.24,,0.068167604752970609
2024-01-31,TikTok Ads,Shopping,,,,,,India,174668,10916,0.0625,6877.08,310,5.47,37599.64,,0.028398680835470869
2024-01-31,TikTok Ads,Shopping,,,,,,UAE,127790,7015,0.0549,8628.45,422,10.44,90118.48,,0.0601568068424804
2024-01-31,Meta Ads,Search,,,,,,UK,153157,5498,0.0359,9896.4,401,9.16,90694.52,,0.0729356129501637
2024-02-01,Meta Ads,Video,,,,,,USA,65942,2044,0.031,2146.2,48,3.16,6784.27,,0.023483365949119372
2024-02-01,Google Ads,Video,,,,,,USA,48790,2824,0.0579,3671.2,178,10.31,37847.71,,0.063031161473087821
2024-02-01,Google Ads,Search,,,,,,UK,73681,4457,0.0605,7888.89,95,1.5,11815.26,,0.021314785730311869
2024-02-01,TikTok Ads,Shopping,,,,,,India,95288,7108,0.0746,3625.08,454,36.52,132401.61,,0.0638716938660664
2024-02-01,TikTok Ads,Video,,,,,,Australia,184504,15479,0.0839,12383.2,538,9.06,112251.74,,0.034756767233025392
2024-02-01,Meta Ads,Search,,,,,,UK,63528,711,0.0112,1059.39,23,4.31,4567.68,,0.032348804500703238
2024-02-02,TikTok Ads,Video,,,,,,USA,112294,9039,0.0805,8948.61,99,2.28,20435.34,,0.010952538997676734
2024-02-02,Google Ads,Shopping,,,,,,UAE,149848,9290,0.062,18301.3,537,5.81,106414.01,,0.057804090419806241
2024-02-02,TikTok Ads,Shopping,,,,,,Australia,196605,14922,0.0759,26262.72,757,6.92,181823.28,,0.050730465085109235
2024-02-02,Google Ads,Display,,,,,,USA,65530,2018,0.0308,5670.58,117,2.14,12114.63,,0.057978196233894948
2024-02-02,Google Ads,Video,,,,,,Canada,44420,1066,0.024,3880.24,44,0.68,2655.91,,0.041275797373358347
2024-02-03,TikTok Ads,Shopping,,,,,,Australia,23043,1534,0.0666,2086.24,119,3.01,6284.67,,0.077574967405475884
2024-02-03,TikTok Ads,Display,,,,,,USA,150227,8683,0.0578,14761.1,315,5.85,86296.01,,0.036277784175976047
2024-02-03,Meta Ads,Shopping,,,,,,UK,48271,1182,0.0245,2293.08,30,1.1,2529.5,,0.025380710659898477
2024-02-03,Meta Ads,Display,,,,,,Australia,76095,2031,0.0267,3026.19,135,10.96,33172.87,,0.066469719350073855
2024-02-04,Google Ads,Search,,,,,,USA,137290,5011,0.0365,7817.16,323,3.64,28440.57,,0.064458191977649168
2024-02-04,Meta Ads,Display,,,,,,Australia,124004,2083,0.0168,3145.33,49,3.17,9959.37,,0.023523763802208355
2024-02-04,Google Ads,Search,,,,,,UAE,167198,5132,0.0307,11854.92,120,1.68,19874.34,,0.023382696804364771
2024-02-04,Meta Ads,Shopping,,,,,,Germany,82665,2521,0.0305,1613.44,182,30.01,48413.75,,0.072193573978579922
2024-02-05,TikTok Ads,Shopping,,,,,,UK,90443,3789,0.0419,2159.73,94,7.41,16003.58,,0.024808656637635259
2024-02-05,TikTok Ads,Search,,,,,,UK,168322,4965,0.0295,4518.15,228,10.86,49052.14,,0.045921450151057405
2024-02-05,Google Ads,Shopping,,,,,,USA,12045,255,0.0212,515.1,4,0.31,161.02,,0.015686274509803921
2024-02-05,Meta Ads,Video,,,,,,India,145510,5805,0.0399,6037.2,166,5.09,30713.7,,0.028596037898363479
